character,displayName,key,frame,isAttack,widthRatio,heightRatio,bodyWidthRatio,bodyHeightRatio,bodyFootGapRatio,expectedWidthRatio,expectedWidthLabel,areaRatio,bodyAreaRatio,scaleWidth,scaleHeight,scaleSource,sameSourceScaleUses,reasons
heihachi-edajima,Heihachi Edajima,knockdown,38,false,1.702,0.58,1.702,0.58,0.066,0.912,idleH,0.987,0.987,0.58,0.58,frame,knockdown:0.58/0.58|getupStand:0.58/0.58|sprint:0.62/0.8,below-blue:0.58h|body-below:0.58h|same-source-scale-diff:0.22
heihachi-edajima,Heihachi Edajima,lose,30,false,1.794,0.299,1.794,0.299,0,0.961,idleH,0.536,0.536,0.299,0.299,frame,sprint:0.32/0.8|lose:0.299/0.299,below-blue:0.30h|body-below:0.30h|low-area:0.54|same-source-scale-diff:0.50
heihachi-edajima,Heihachi Edajima,sidestepLeft,39,false,1.154,1,1.154,1,0,1.154,idleW,1.154,1.154,0.71,1,frame,sprint:0.88/0.88|sidestepLeft:0.71/1|sidestepRight:0.71/1|hitLight:0.79/0.79,same-source-scale-diff:0.21
heihachi-edajima,Heihachi Edajima,sidestepRight,39,false,1.154,1,1.154,1,0,1.154,idleW,1.154,1.154,0.71,1,frame,sprint:0.88/0.88|sidestepLeft:0.71/1|sidestepRight:0.71/1|hitLight:0.79/0.79,same-source-scale-diff:0.21
heihachi-edajima,Heihachi Edajima,walkForward,7,false,1.08,1.08,1.08,1.08,0,1.08,idleW,1.166,1.166,1.08,1.08,frame,walkForward:1.08/1.08,above-blue:1.08h
heihachi-edajima,Heihachi Edajima,win,95,false,0.89,0.89,0.89,0.89,0,0.89,idleW,0.792,0.792,0.89,0.89,frame,jabright:0.98/0.98|cmd:1+2:0.98/0.98|win:0.89/0.89,below-blue:0.89h|body-below:0.89h|same-source-scale-diff:0.09
hiei,Hiei,backflip,40,false,1.02,1.02,1.02,1.02,0.018,1.02,idleW,1.04,1.04,1.02,1.02,frame,backflip:1.02/1.02,seq-height-dip:0.10
hiei,Hiei,backflip,41,false,1.01,1.01,1.01,1.01,0,1.01,idleW,1.02,1.02,1.01,1.01,frame,backflip:1.01/1.01,seq-height-dip:0.11|seq-body-dip:0.11
hiei,Hiei,backflip,42,false,1.15,1.15,1.15,1.15,0.021,1.15,idleW,1.322,1.322,1.15,1.15,frame,backflip:1.15/1.15,above-blue:1.15h|body-above:1.15h
hiei,Hiei,backflip,43,false,1.14,1.14,1.14,1.14,0,1.14,idleW,1.3,1.3,1.14,1.14,frame,backflip:1.14/1.14,above-blue:1.14h|body-above:1.14h
hiei,Hiei,backflip,46,false,1.12,1.12,1.12,1.12,0.037,1.12,idleW,1.254,1.254,1.12,1.12,frame,backflip:1.12/1.12,above-blue:1.12h|body-above:1.12h
hiei,Hiei,backflip,47,false,1.12,1.12,1.12,1.12,0.032,1.12,idleW,1.254,1.254,1.12,1.12,frame,backflip:1.12/1.12,above-blue:1.12h
hiei,Hiei,backflip,48,false,1.12,1.12,1.12,1.12,0.032,1.12,idleW,1.254,1.254,1.12,1.12,frame,backflip:1.12/1.12,above-blue:1.12h
hiei,Hiei,cmd:1+2,97,true,0.94,0.94,0.94,0.94,0,0.94,idleW,0.884,0.884,0.94,0.94,frame,cmd:1+2:0.94/0.94,below-blue:0.94h
hiei,Hiei,cmd:1+2,98,true,1.01,1.01,1.01,0.938,0,1.01,idleW,1.02,0.947,1.01,1.01,frame,cmd:1+2:1.01/1.01,body-top-below-blue:0.07
hiei,Hiei,cmd:1+2,99,true,0.96,0.96,0.96,0.96,0,0.96,idleW,0.922,0.922,0.96,0.96,frame,cmd:1+2:0.96/0.96,below-blue:0.96h
hiei,Hiei,cmd:1+3,86,true,1.662,1,1.662,1,0,1.662,idleW,1.662,1.662,1,1,frame,cmd:1+3:1/1,too-wide:1.66x-idleW|high-area:1.66
hiei,Hiei,cmd:1+3,87,true,1.747,1,1.747,1,0.026,1.747,idleW,1.747,1.747,1,1,frame,cmd:1+3:1/1,too-wide:1.75x-idleW|high-area:1.75
hiei,Hiei,cmd:1+3,88,true,1.712,1,1.712,1,0.077,1.712,idleW,1.712,1.712,1,1,frame,cmd:1+3:1/1,too-wide:1.71x-idleW|high-area:1.71|feet-above-ground:0.08
hiei,Hiei,cmd:1+3,89,true,1.704,1,1.704,1,0.025,1.704,idleW,1.704,1.704,1,1,frame,cmd:1+3:1/1,too-wide:1.70x-idleW|high-area:1.70
hiei,Hiei,cmd:1+3,90,true,1.72,1.72,1.605,1.72,0,1.72,idleW,2.958,2.761,1.72,1.72,frame,cmd:1+3:1.72/1.72,above-blue:1.72h|body-above:1.72h|too-wide:1.72x-idleW|high-area:2.96
hiei,Hiei,cmd:1+3,91,true,1.66,1.66,1.63,1.45,0,1.66,idleW,2.756,2.363,1.66,1.66,frame,cmd:1+3:1.66/1.66,above-blue:1.66h|body-above:1.45h|body-top-below-blue:0.21|too-wide:1.66x-idleW|high-area:2.76
hiei,Hiei,cmd:1+3,92,true,1.42,1.42,1.42,1.324,0,1.42,idleW,2.016,1.88,1.42,1.42,frame,cmd:1+3:1.42/1.42,above-blue:1.42h|body-above:1.32h|body-top-below-blue:0.10|high-area:2.02
hiei,Hiei,cmd:1+3,93,true,1.34,1.34,1.34,1.34,0,1.34,idleW,1.796,1.796,1.34,1.34,frame,cmd:1+3:1.34/1.34,above-blue:1.34h|body-above:1.34h|high-area:1.80
hiei,Hiei,cmd:1+3,94,true,1.755,1,1.755,1,0,1.755,idleW,1.755,1.755,1,1,frame,cmd:1+3:1/1,too-wide:1.76x-idleW|high-area:1.76
hiei,Hiei,cmd:1+3,95,true,1,1,1,1,0,1,idleW,1,1,1,1,default,,seq-area-low:0.73
hiei,Hiei,cmd:1+4,81,true,1.732,0.95,1.732,0.95,0.084,1.732,idleW,1.646,1.646,0.95,0.95,frame,jabright:0.95/0.95|cmd:1+4:0.95/0.95,below-blue:0.95h|too-wide:1.73x-idleW|high-area:1.65|feet-above-ground:0.08
hiei,Hiei,cmd:1+4,83,true,2.224,0.98,2.224,0.98,0.026,2.224,idleW,2.18,2.18,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.22x-idleW|high-area:2.18
hiei,Hiei,cmd:1+4,84,true,1.973,0.98,1.973,0.98,0.052,1.973,idleW,1.933,1.933,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:1.97x-idleW|high-area:1.93
hiei,Hiei,cmd:1+4,85,true,0.98,0.98,0.98,0.98,0,0.98,idleW,0.96,0.96,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scale-diff:0.05
hiei,Hiei,cmd:2+3,74,true,0.97,0.97,0.97,0.97,0.022,0.97,idleW,0.941,0.941,0.97,0.97,frame,cmd:2+3:0.97/0.97|cmd:2+4:0.97/0.97,below-blue:0.97h
hiei,Hiei,cmd:2+4,70,true,1.416,0.95,1.416,0.95,0.023,1.416,idleW,1.345,1.345,0.95,0.95,frame,cmd:2+4:0.95/0.95,below-blue:0.95h
hiei,Hiei,cmd:2+4,71,true,1.273,0.96,1.273,0.96,0,1.273,idleW,1.222,1.222,0.96,0.96,frame,cmd:2+4:0.96/0.96,below-blue:0.96h
hiei,Hiei,cmd:2+4,72,true,1.699,0.95,1.699,0.95,0.023,1.699,idleW,1.614,1.614,0.95,0.95,frame,cmd:2+4:0.95/0.95,below-blue:0.95h|too-wide:1.70x-idleW|high-area:1.61
hiei,Hiei,cmd:2+4,73,true,1.667,0.95,1.667,0.95,0.023,1.667,idleW,1.584,1.584,0.95,0.95,frame,cmd:2+4:0.95/0.95,below-blue:0.95h|too-wide:1.67x-idleW|high-area:1.58
hiei,Hiei,cmd:2+4,74,true,0.97,0.97,0.97,0.97,0.022,0.97,idleW,0.941,0.941,0.97,0.97,frame,cmd:2+3:0.97/0.97|cmd:2+4:0.97/0.97,below-blue:0.97h|seq-area-low:0.40
hiei,Hiei,cmd:3+4,101,true,1.644,0.95,1.644,0.95,0.023,1.644,idleW,1.561,1.561,0.95,0.95,frame,cmd:3+4:0.95/0.95,below-blue:0.95h|too-wide:1.64x-idleW|high-area:1.56
hiei,Hiei,cmd:3+4,104,true,1.471,1,1.391,0.942,0.058,1.471,idleW,1.471,1.31,1,1,default,,high-area:1.47|feet-above-ground:0.06
hiei,Hiei,cmd:d/f+2,80,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:d/f+2,81,true,1.824,1,1.824,1,0.089,1.824,idleW,1.824,1.824,1,1,default,jabright:0.95/0.95|cmd:1+4:0.95/0.95,too-wide:1.82x-idleW|high-area:1.82|feet-above-ground:0.09|same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:d/f+2,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:d/f+2,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:d/f+2,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:d/f+2,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:d+1,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:d+1,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:d+1,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:d+1,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:f+1,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:f+1,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:f+1,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:f+1,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:f+2,80,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:f+2,81,true,1.824,1,1.824,1,0.089,1.824,idleW,1.824,1.824,1,1,default,jabright:0.95/0.95|cmd:1+4:0.95/0.95,too-wide:1.82x-idleW|high-area:1.82|feet-above-ground:0.09|same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:f+2,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:f+2,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:f+2,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:f+2,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:FC+1,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:FC+1,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:FC+1,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:FC+1,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:FC+2,80,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:FC+2,81,true,1.824,1,1.824,1,0.089,1.824,idleW,1.824,1.824,1,1,default,jabright:0.95/0.95|cmd:1+4:0.95/0.95,too-wide:1.82x-idleW|high-area:1.82|feet-above-ground:0.09|same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:FC+2,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:FC+2,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:FC+2,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:FC+2,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:O+1,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:O+1,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:O+1,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:O+1,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:qcf+1,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:qcf+1,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:qcf+1,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:qcf+1,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,cmd:WS+2,80,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:WS+2,81,true,1.824,1,1.824,1,0.089,1.824,idleW,1.824,1.824,1,1,default,jabright:0.95/0.95|cmd:1+4:0.95/0.95,too-wide:1.82x-idleW|high-area:1.82|feet-above-ground:0.09|same-source-scaled:jabright/cmd:1+4
hiei,Hiei,cmd:WS+2,82,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:WS+2,83,true,2.269,1,2.269,1,0.026,2.269,idleW,2.269,2.269,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.27x-idleW|high-area:2.27|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:WS+2,84,true,2.013,1,2.013,1,0.053,2.013,idleW,2.013,2.013,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.01x-idleW|high-area:2.01|same-source-scaled:jableft/jabright/cmd:1+4
hiei,Hiei,cmd:WS+2,85,true,1,1,1,1,0,1,idleW,1,1,1,1,default,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scaled:jableft/jabright/cmd:1+4|same-source-scale-diff:0.05
hiei,Hiei,crouch,21,false,0.98,0.72,0.98,0.72,0,0.98,idleW,0.706,0.706,0.98,0.72,frame,crouch:0.98/0.72,below-blue:0.72h|body-below:0.72h|low-area:0.71
hiei,Hiei,getupStand,31,false,1.334,0.422,1.334,0.422,0.058,0.96,idleH,0.563,0.563,0.422,0.422,frame,knockdown:0.422/0.422|getupStand:0.422/0.422|sprint:0.65/0.8,below-blue:0.42h|body-below:0.42h|low-area:0.56|seq-height-dip:0.63|seq-body-dip:0.63|seq-area-low:0.39|same-source-scale-diff:0.38
hiei,Hiei,getupStand,32,false,1.335,0.344,1.335,0.344,0.036,0.96,idleH,0.459,0.459,0.344,0.344,frame,knockdown:0.344/0.344|getupStand:0.344/0.344|sprint:0.49/0.8,below-blue:0.34h|body-below:0.34h|low-area:0.46|seq-height-dip:0.71|seq-body-dip:0.71|seq-area-low:0.50|same-source-scale-diff:0.46
hiei,Hiei,getupStand,33,false,1.603,0.53,1.603,0.53,0.046,1.153,idleH,0.85,0.85,0.53,0.53,frame,knockdown:0.53/0.53|getupStand:0.53/0.53|sprint:0.59/0.74,below-blue:0.53h|body-below:0.53h|seq-height-dip:0.52|seq-body-dip:0.52|same-source-scale-diff:0.21
hiei,Hiei,getupStand,34,false,1.335,0.344,1.335,0.344,0.036,0.96,idleH,0.459,0.459,0.344,0.344,frame,knockdown:0.344/0.344|getupStand:0.344/0.344|sprint:0.49/0.8,below-blue:0.34h|body-below:0.34h|low-area:0.46|seq-height-dip:0.71|seq-body-dip:0.71|seq-area-low:0.50|same-source-scale-diff:0.46
hiei,Hiei,getupStand,52,false,1.06,1.06,1.06,1.06,0.035,0.762,idleH,1.124,1.124,1.06,1.06,frame,getupStand:1.06/1.06,too-narrow:0.76x-idleH
hiei,Hiei,getupStand,53,false,1.07,1.07,1.07,1.07,0,0.769,idleH,1.145,1.145,1.07,1.07,frame,getupStand:1.07/1.07,too-narrow:0.77x-idleH
hiei,Hiei,getupStand,54,false,1.05,1.05,1.05,1.05,0,0.755,idleH,1.103,1.103,1.05,1.05,frame,getupStand:1.05/1.05,too-narrow:0.76x-idleH
hiei,Hiei,getupStand,55,false,1.03,1.03,1.03,1.03,0,0.741,idleH,1.061,1.061,1.03,1.03,frame,getupStand:1.03/1.03,too-narrow:0.74x-idleH
hiei,Hiei,jableft,83,true,2.224,0.98,2.224,0.98,0.026,2.224,idleW,2.18,2.18,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.22x-idleW|high-area:2.18
hiei,Hiei,jableft,84,true,1.973,0.98,1.973,0.98,0.052,1.973,idleW,1.933,1.933,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:1.97x-idleW|high-area:1.93
hiei,Hiei,jableft,85,true,0.98,0.98,0.98,0.98,0,0.98,idleW,0.96,0.96,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scale-diff:0.05
hiei,Hiei,jabright,81,true,1.732,0.95,1.732,0.95,0.084,1.732,idleW,1.646,1.646,0.95,0.95,frame,jabright:0.95/0.95|cmd:1+4:0.95/0.95,below-blue:0.95h|too-wide:1.73x-idleW|high-area:1.65|feet-above-ground:0.08
hiei,Hiei,jabright,83,true,2.224,0.98,2.224,0.98,0.026,2.224,idleW,2.18,2.18,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:2.22x-idleW|high-area:2.18
hiei,Hiei,jabright,84,true,1.973,0.98,1.973,0.98,0.052,1.973,idleW,1.933,1.933,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98,too-wide:1.97x-idleW|high-area:1.93
hiei,Hiei,jabright,85,true,0.98,0.98,0.98,0.98,0,0.98,idleW,0.96,0.96,0.98,0.98,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,same-source-scale-diff:0.05
hiei,Hiei,juggle,28,false,0.99,0.99,0.99,0.99,0.267,0.712,idleH,0.98,0.98,0.99,0.99,frame,juggle:0.99/0.99,too-narrow:0.71x-idleH
hiei,Hiei,juggle,29,false,1.02,1.02,1.02,1.02,0.038,0.733,idleH,1.04,1.04,1.02,1.02,frame,juggle:1.02/1.02,too-narrow:0.73x-idleH
hiei,Hiei,jump,17,false,0.97,0.97,0.97,0.97,0.155,0.97,idleW,0.941,0.941,0.97,0.97,frame,jump:0.97/0.97,below-blue:0.97h
hiei,Hiei,jump,18,false,0.97,0.97,0.97,0.97,0.155,0.97,idleW,0.941,0.941,0.97,0.97,frame,jump:0.97/0.97,below-blue:0.97h
hiei,Hiei,knockdown,31,false,1.334,0.422,1.334,0.422,0.058,0.96,idleH,0.563,0.563,0.422,0.422,frame,knockdown:0.422/0.422|getupStand:0.422/0.422|sprint:0.65/0.8,below-blue:0.42h|body-below:0.42h|low-area:0.56|same-source-scale-diff:0.38
hiei,Hiei,knockdown,32,false,1.335,0.344,1.335,0.344,0.036,0.96,idleH,0.459,0.459,0.344,0.344,frame,knockdown:0.344/0.344|getupStand:0.344/0.344|sprint:0.49/0.8,below-blue:0.34h|body-below:0.34h|low-area:0.46|same-source-scale-diff:0.46
hiei,Hiei,knockdown,33,false,1.603,0.53,1.603,0.53,0.046,1.153,idleH,0.85,0.85,0.53,0.53,frame,knockdown:0.53/0.53|getupStand:0.53/0.53|sprint:0.59/0.74,below-blue:0.53h|body-below:0.53h|same-source-scale-diff:0.21
hiei,Hiei,knockdown,34,false,1.335,0.344,1.335,0.344,0.036,0.96,idleH,0.459,0.459,0.344,0.344,frame,knockdown:0.344/0.344|getupStand:0.344/0.344|sprint:0.49/0.8,below-blue:0.34h|body-below:0.34h|low-area:0.46|same-source-scale-diff:0.46
hiei,Hiei,lose,30,false,1.333,0.276,1.333,0.276,0,0.959,idleH,0.368,0.368,0.276,0.276,frame,sprint:0.39/0.8|lose:0.276/0.276,below-blue:0.28h|body-below:0.28h|low-area:0.37|same-source-scale-diff:0.52
hiei,Hiei,sidestepLeft,112,false,0.97,0.97,0.97,0.97,0,0.97,idleW,0.941,0.941,0.97,0.97,frame,sidestepLeft:0.97/0.97|sidestepRight:0.97/0.97,below-blue:0.97h
hiei,Hiei,sidestepRight,112,false,0.97,0.97,0.97,0.97,0,0.97,idleW,0.941,0.941,0.97,0.97,frame,sidestepLeft:0.97/0.97|sidestepRight:0.97/0.97,below-blue:0.97h
hiei,Hiei,walkForward,7,false,0.99,0.99,0.99,0.99,0.069,0.99,idleW,0.98,0.98,0.99,0.99,frame,walkForward:0.99/0.99,feet-above-ground:0.07
hiei,Hiei,walkForward,9,false,1.1,1.1,1.1,1.1,0,1.1,idleW,1.21,1.21,1.1,1.1,frame,walkForward:1.1/1.1,above-blue:1.10h
hiei,Hiei,walkForward,10,false,1.09,1.09,1.09,1.09,0,1.09,idleW,1.188,1.188,1.09,1.09,frame,walkForward:1.09/1.09,above-blue:1.09h
hiei,Hiei,win,85,false,0.93,0.93,0.93,0.93,0,0.93,idleW,0.865,0.865,0.93,0.93,frame,jableft:0.98/0.98|jabright:0.98/0.98|cmd:1+4:0.98/0.98|win:0.93/0.93,below-blue:0.93h|same-source-scale-diff:0.05
ichigo-kurosaki,Ichigo Kurosaki,backflip,40,false,1.128,1.128,1.128,1.128,0,1.128,idleW,1.272,1.272,0.97,0.97,frame,backflip:0.97/0.97,above-blue:1.13h|body-above:1.13h
ichigo-kurosaki,Ichigo Kurosaki,backflip,43,false,1.105,1.105,1.105,1.105,0.014,1.105,idleW,1.22,1.22,0.95,0.95,frame,backflip:0.95/0.95,above-blue:1.10h
